Zeit	Gerätelast	Beleuchtungslast	Personenlast	Kühllast	Heizlast	Solare Gewinne	Lüftungswärmelast	Konvektion durch Wände	Konvektion durch Fenster
2025-01-01 00:00:00	102.22	0.00	0.00	0.00	698.00	0.00	-150.98	0.00	-297.52
2025-01-01 01:00:00	102.22	0.00	0.00	0.00	951.95	0.00	-160.30	-544.06	-316.76
2025-01-01 02:00:00	102.22	0.00	0.00	0.00	985.67	0.00	-173.33	-559.18	-343.02
2025-01-01 03:00:00	102.22	0.00	0.00	0.00	920.64	0.00	-181.00	-482.03	-358.36
2025-01-01 04:00:00	102.22	0.00	0.00	0.00	828.90	0.00	-180.53	-393.13	-357.44
2025-01-01 05:00:00	102.22	0.00	0.00	0.00	789.80	0.00	-175.67	-368.40	-347.88
2025-01-01 06:00:00	102.22	0.00	0.00	0.00	768.37	0.00	-172.28	-356.73	-341.20
2025-01-01 07:00:00	102.22	0.00	0.00	0.00	742.98	0.00	-167.27	-346.62	-331.33
2025-01-01 08:00:00	102.22	0.00	0.00	0.00	719.15	0.00	-162.36	-337.29	-321.65
2025-01-01 09:00:00	102.22	0.00	0.00	0.00	670.86	24.08	-159.63	-321.09	-316.29
2025-01-01 10:00:00	102.22	0.00	0.00	0.00	544.61	91.73	-156.18	-272.76	-309.51
2025-01-01 11:00:00	102.22	0.00	0.00	0.00	436.34	140.20	-151.44	-227.03	-300.17
2025-01-01 12:00:00	102.22	0.00	0.00	0.00	366.98	163.29	-147.70	-192.00	-292.82
2025-01-01 13:00:00	102.22	0.00	0.00	0.00	459.96	90.69	-146.81	-215.19	-291.05
2025-01-01 14:00:00	102.22	0.00	0.00	0.00	510.16	64.79	-145.03	-244.66	-287.54
2025-01-01 15:00:00	102.22	0.00	0.00	0.00	543.56	44.06	-142.17	-265.69	-281.90
2025-01-01 16:00:00	102.22	0.00	0.00	0.00	595.73	12.75	-140.05	-293.37	-277.71
2025-01-01 17:00:00	102.22	0.00	0.00	0.00	627.01	0.00	-138.27	-316.81	-274.19
2025-01-01 18:00:00	102.22	0.00	0.00	0.00	636.72	0.00	-137.24	-329.51	-272.16
2025-01-01 19:00:00	102.22	0.00	0.00	0.00	646.58	-0.00	-137.83	-338.01	-273.33
2025-01-01 20:00:00	102.22	0.00	0.00	0.00	653.82	0.00	-137.48	-346.16	-272.64
2025-01-01 21:00:00	102.22	0.00	0.00	0.00	660.62	0.00	-136.95	-354.23	-271.59
2025-01-01 22:00:00	102.22	0.00	0.00	0.00	669.68	-0.00	-137.37	-361.99	-272.42
2025-01-01 23:00:00	102.22	0.00	0.00	0.00	675.35	0.00	-136.78	-369.53	-271.25
2025-01-02 00:00:00	102.22	0.00	0.00	0.00	683.63	0.00	-137.09	-376.58	-271.87
2025-01-02 01:00:00	102.22	0.00	0.00	0.00	687.92	0.00	-136.33	-383.16	-270.38
2025-01-02 02:00:00	102.22	0.00	0.00	0.00	684.14	-0.00	-132.95	-389.73	-263.72
2025-01-02 03:00:00	102.22	0.00	0.00	0.00	684.28	0.00	-131.15	-395.20	-260.17
2025-01-02 04:00:00	102.22	0.00	0.00	0.00	691.93	0.00	-132.49	-399.16	-262.81
2025-01-02 05:00:00	102.22	0.00	0.00	0.00	698.05	0.00	-133.34	-402.64	-264.49
2025-01-02 06:00:00	102.22	0.00	0.00	0.00	706.13	0.00	-134.69	-406.45	-267.14
2025-01-02 07:00:00	102.22	0.00	0.00	0.00	718.05	0.00	-137.29	-410.65	-272.26
2025-01-02 08:00:00	102.22	0.00	0.00	0.00	724.09	0.00	-137.54	-415.42	-272.75
2025-01-02 09:00:00	102.22	0.00	0.00	0.00	634.62	71.42	-138.12	-395.66	-273.91
2025-01-02 10:00:00	102.22	0.00	0.00	0.00	389.35	220.51	-138.06	-299.62	-273.79
2025-01-02 11:00:00	102.22	0.00	0.00	0.00	285.63	285.76	-136.40	-262.86	-270.44
2025-01-02 12:00:00	102.22	0.00	0.00	0.00	286.03	347.17	-138.62	-315.25	-274.41
2025-01-02 13:00:00	102.22	0.00	0.00	0.00	274.03	351.38	-142.74	-298.94	-282.22
2025-01-02 14:00:00	102.22	0.00	0.00	0.00	228.54	384.01	-146.41	-277.28	-289.22
2025-01-02 15:00:00	102.22	0.00	0.00	0.00	228.75	276.79	-150.80	-166.80	-298.08
2025-01-02 16:00:00	102.22	0.00	0.00	0.00	411.77	71.94	-157.76	-125.28	-312.38
2025-01-02 17:00:00	102.22	0.00	0.00	0.00	660.09	-0.00	-163.15	-276.20	-323.21
2025-01-02 18:00:00	102.22	0.00	0.00	0.00	754.12	0.00	-166.66	-359.62	-330.13
2025-01-02 19:00:00	102.22	0.00	0.00	0.00	812.02	-0.00	-173.73	-396.59	-344.06
2025-01-02 20:00:00	102.22	0.00	0.00	0.00	854.71	-0.00	-179.92	-420.83	-356.24
2025-01-02 21:00:00	102.22	0.00	0.00	0.00	883.94	0.00	-182.71	-441.81	-361.76
2025-01-02 22:00:00	102.22	0.00	0.00	0.00	904.72	0.00	-183.38	-460.63	-363.07
2025-01-02 23:00:00	102.22	0.00	0.00	0.00	924.28	-0.00	-185.12	-474.91	-366.50
2025-01-03 00:00:00	102.22	0.00	0.00	0.00	948.30	0.00	-189.02	-487.49	-374.17
2025-01-03 01:00:00	102.22	0.00	0.00	0.00	966.44	0.00	-191.55	-498.23	-379.17
2025-01-03 02:00:00	102.22	0.00	0.00	0.00	985.37	0.00	-194.65	-508.22	-385.28
2025-01-03 03:00:00	102.22	0.00	0.00	0.00	1002.77	0.00	-196.90	-518.44	-389.71
2025-01-03 04:00:00	102.22	0.00	0.00	0.00	1021.94	-0.00	-200.13	-528.23	-396.07
2025-01-03 05:00:00	102.22	0.00	0.00	0.00	1042.47	0.00	-203.56	-538.20	-402.82
2025-01-03 06:00:00	102.22	0.00	0.00	0.00	1057.38	-0.00	-205.24	-548.15	-406.15
2025-01-03 07:00:00	102.22	0.00	0.00	0.00	1066.32	-0.00	-204.96	-558.27	-405.59
2025-01-03 08:00:00	102.22	0.00	0.00	0.00	1076.93	0.00	-205.23	-567.55	-406.12
2025-01-03 09:00:00	102.22	0.00	0.00	0.00	989.07	69.63	-204.28	-551.60	-404.26
2025-01-03 10:00:00	102.22	0.00	0.00	0.00	727.20	221.96	-199.59	-456.34	-395.04
2025-01-03 11:00:00	102.22	0.00	0.00	0.00	559.94	294.46	-191.93	-384.23	-379.92
2025-01-03 12:00:00	102.22	0.00	0.00	0.00	469.15	338.91	-183.79	-360.76	-363.81
2025-01-03 13:00:00	102.22	0.00	0.00	0.00	399.37	340.44	-175.83	-318.12	-348.12
2025-01-03 14:00:00	102.22	0.00	0.00	0.00	390.28	351.77	-174.36	-324.42	-345.12
2025-01-03 15:00:00	102.22	0.00	0.00	0.00	420.39	284.14	-177.40	-280.54	-351.23
2025-01-03 16:00:00	102.22	0.00	0.00	0.00	724.25	95.30	-181.63	-381.15	-359.64
2025-01-03 17:00:00	102.22	0.00	0.00	0.00	960.20	0.00	-189.11	-499.11	-374.36
2025-01-03 18:00:00	102.22	0.00	0.00	0.00	1029.22	0.00	-198.79	-539.26	-393.43
2025-01-03 19:00:00	102.22	0.00	0.00	0.00	1071.18	0.00	-205.74	-560.58	-407.12
2025-01-03 20:00:00	102.22	0.00	0.00	0.00	1100.58	0.00	-209.73	-578.12	-414.99
2025-01-03 21:00:00	102.22	0.00	0.00	0.00	1129.75	0.00	-213.89	-594.98	-423.18
2025-01-03 22:00:00	102.22	0.00	0.00	0.00	1155.91	-0.00	-217.93	-609.03	-431.14
2025-01-03 23:00:00	102.22	0.00	0.00	0.00	1178.72	0.00	-221.41	-621.68	-438.01
2025-01-04 00:00:00	102.22	0.00	0.00	0.00	1201.58	0.00	-225.17	-633.17	-445.42
2025-01-04 01:00:00	102.22	0.00	0.00	0.00	1222.74	0.00	-228.64	-643.95	-452.25
2025-01-04 02:00:00	102.22	0.00	0.00	0.00	1240.41	-0.00	-231.12	-654.41	-457.14
2025-01-04 03:00:00	102.22	0.00	0.00	0.00	1258.76	0.00	-233.61	-665.36	-462.05
2025-01-04 04:00:00	102.22	0.00	0.00	0.00	1276.54	0.00	-236.26	-674.74	-467.26
2025-01-04 05:00:00	102.22	0.00	0.00	0.00	1289.64	0.00	-238.06	-683.02	-470.81
2025-01-04 06:00:00	102.22	0.00	0.00	0.00	1303.36	0.00	-239.90	-691.32	-474.44
2025-01-04 07:00:00	102.22	0.00	0.00	0.00	1315.28	0.00	-241.16	-699.73	-476.91
2025-01-04 08:00:00	102.22	0.00	0.00	0.00	1329.03	-0.00	-242.92	-707.81	-480.38
2025-01-04 09:00:00	102.22	0.00	0.00	0.00	1235.69	79.00	-245.51	-686.40	-485.50
2025-01-04 10:00:00	102.22	0.00	0.00	0.00	979.96	230.77	-243.07	-588.84	-480.70
2025-01-04 11:00:00	102.22	0.00	0.00	0.00	801.92	306.02	-232.82	-516.69	-460.49
2025-01-04 12:00:00	102.22	0.00	0.00	0.00	658.67	351.63	-216.86	-466.13	-429.02
2025-01-04 13:00:00	102.22	0.00	0.00	0.00	579.37	361.11	-191.66	-469.67	-379.26
2025-01-04 14:00:00	102.22	0.00	0.00	0.00	537.24	327.69	-180.39	-432.01	-357.09
2025-01-04 15:00:00	102.22	0.00	0.00	0.00	660.32	234.91	-186.02	-443.56	-368.28
2025-01-04 16:00:00	102.22	0.00	0.00	0.00	943.01	66.77	-191.77	-541.12	-379.60
2025-01-04 17:00:00	102.22	0.00	0.00	0.00	1110.61	0.15	-196.91	-626.44	-389.72
2025-01-04 18:00:00	102.22	0.00	0.00	0.00	1143.79	-0.00	-198.97	-653.24	-393.78
2025-01-04 19:00:00	102.22	0.00	0.00	0.00	1159.18	0.00	-199.68	-666.56	-395.19
2025-01-04 20:00:00	102.22	0.00	0.00	0.00	1174.01	-0.00	-201.26	-676.70	-398.30
2025-01-04 21:00:00	102.22	0.00	0.00	0.00	1194.50	0.00	-205.59	-684.30	-406.84
2025-01-04 22:00:00	102.22	0.00	0.00	0.00	1223.67	-0.00	-213.30	-690.85	-422.03
2025-01-04 23:00:00	102.22	0.00	0.00	0.00	1248.67	0.00	-219.32	-697.86	-433.87
2025-01-05 00:00:00	102.22	0.00	0.00	0.00	1264.04	0.00	-221.49	-706.26	-438.16
2025-01-05 01:00:00	102.22	0.00	0.00	0.00	1283.90	-0.00	-225.48	-714.61	-446.02
2025-01-05 02:00:00	102.22	0.00	0.00	0.00	1290.92	0.00	-225.04	-722.95	-445.14
2025-01-05 03:00:00	102.22	0.00	0.00	0.00	1296.37	-0.00	-224.54	-730.06	-444.16
2025-01-05 04:00:00	102.22	0.00	0.00	0.00	1308.95	0.00	-226.96	-735.32	-448.93
2025-01-05 05:00:00	102.22	0.00	0.00	0.00	1316.32	0.00	-228.03	-739.66	-451.04
2025-01-05 06:00:00	102.22	0.00	0.00	0.00	1330.37	0.00	-231.55	-743.08	-457.98
2025-01-05 07:00:00	102.22	0.00	0.00	0.00	1338.55	0.00	-232.87	-747.34	-460.57
2025-01-05 08:00:00	102.22	0.00	0.00	0.00	1349.04	0.00	-234.83	-751.76	-464.44
2025-01-05 09:00:00	102.22	0.00	0.00	0.00	1255.01	76.53	-236.60	-729.18	-467.93
2025-01-05 10:00:00	102.22	0.00	0.00	0.00	1000.85	222.18	-232.50	-632.54	-459.87
2025-01-05 11:00:00	102.22	0.00	0.00	0.00	807.86	308.77	-223.07	-554.18	-441.27
2025-01-05 12:00:00	102.22	0.00	0.00	0.00	635.31	363.17	-201.77	-498.21	-399.28
2025-01-05 13:00:00	102.22	0.00	0.00	0.00	541.44	381.15	-172.85	-507.09	-342.14
2025-01-05 14:00:00	102.22	0.00	0.00	0.00	496.99	342.68	-166.08	-450.01	-328.81
2025-01-05 15:00:00	102.22	0.00	0.00	0.00	597.56	245.58	-171.06	-436.75	-338.78
2025-01-05 16:00:00	102.22	0.00	0.00	0.00	882.89	71.58	-172.89	-541.91	-342.41
2025-01-05 17:00:00	102.22	0.00	0.00	0.00	1064.93	0.54	-180.76	-629.19	-357.91
2025-01-05 18:00:00	102.22	0.00	0.00	0.00	1119.42	0.00	-190.38	-654.43	-376.86
2025-01-05 19:00:00	102.22	0.00	0.00	0.00	1145.13	0.00	-194.98	-666.48	-385.92
2025-01-05 20:00:00	102.22	0.00	0.00	0.00	1167.65	0.00	-198.86	-677.47	-393.57
2025-01-05 21:00:00	102.22	0.00	0.00	0.00	1186.52	0.00	-201.87	-687.59	-399.50
2025-01-05 22:00:00	102.22	0.00	0.00	0.00	1194.78	0.00	-201.75	-696.09	-399.25
2025-01-05 23:00:00	102.22	0.00	0.00	0.00	1201.91	-0.00	-201.87	-702.75	-399.49
2025-01-06 00:00:00	102.22	0.00	0.00	0.00	1199.03	0.00	-199.29	-707.63	-394.41
2025-01-06 01:00:00	102.22	0.00	0.00	0.00	1198.72	-0.00	-198.30	-710.33	-392.46
2025-01-06 02:00:00	102.22	0.00	0.00	0.00	1182.57	0.00	-192.28	-711.89	-380.60
2025-01-06 03:00:00	102.22	0.00	0.00	0.00	1152.13	0.00	-182.15	-711.92	-360.63
2025-01-06 04:00:00	102.22	0.00	0.00	0.00	1132.14	0.00	-176.34	-708.70	-349.18
2025-01-06 05:00:00	102.22	0.00	0.00	0.00	1111.76	0.00	-171.51	-702.72	-339.68
2025-01-06 06:00:00	102.22	0.00	0.00	0.00	1087.34	0.00	-165.62	-695.85	-328.06
2025-01-06 07:00:00	102.22	0.00	0.00	0.00	1069.38	0.00	-162.08	-688.46	-321.09
2025-01-06 08:00:00	102.22	0.00	0.00	0.00	1050.11	-0.00	-158.07	-681.18	-313.19
2025-01-06 09:00:00	102.22	0.00	0.00	0.00	1023.07	8.33	-154.09	-672.36	-305.36
2025-01-06 10:00:00	102.22	0.00	0.00	0.00	951.55	42.99	-151.15	-645.78	-299.58
2025-01-06 11:00:00	102.22	0.00	0.00	0.00	871.14	73.80	-145.55	-612.63	-288.54
2025-01-06 12:00:00	102.22	0.00	0.00	0.00	875.74	47.67	-139.95	-607.88	-277.51
2025-01-06 13:00:00	102.22	0.00	0.00	0.00	874.81	41.75	-138.40	-605.82	-274.46
2025-01-06 14:00:00	102.22	0.00	0.00	0.00	888.31	31.04	-140.14	-603.42	-277.88
2025-01-06 15:00:00	102.22	0.00	0.00	0.00	909.82	15.83	-141.24	-606.87	-280.04
2025-01-06 16:00:00	102.22	0.00	0.00	0.00	923.87	5.35	-140.81	-611.48	-279.19
2025-01-06 17:00:00	102.22	0.00	0.00	0.00	932.16	0.00	-140.91	-614.10	-279.39
2025-01-06 18:00:00	102.22	0.00	0.00	0.00	928.02	0.00	-139.93	-612.94	-277.46
2025-01-06 19:00:00	102.22	0.00	0.00	0.00	922.84	0.00	-139.07	-610.17	-275.75
2025-01-06 20:00:00	102.22	0.00	0.00	0.00	917.64	-0.00	-138.58	-606.50	-274.79
2025-01-06 21:00:00	102.22	0.00	0.00	0.00	909.36	0.00	-137.28	-602.19	-272.23
2025-01-06 22:00:00	102.22	0.00	0.00	0.00	898.17	0.00	-135.11	-597.32	-267.95
2025-01-06 23:00:00	102.22	0.00	0.00	0.00	893.17	0.00	-134.72	-593.36	-267.19
2025-01-07 00:00:00	102.22	0.00	0.00	0.00	887.64	0.00	-134.72	-587.93	-267.18
2025-01-07 01:00:00	102.22	0.00	0.00	0.00	880.10	0.00	-133.84	-583.06	-265.45
2025-01-07 02:00:00	102.22	0.00	0.00	0.00	873.53	0.00	-133.27	-578.09	-264.34
2025-01-07 03:00:00	102.22	0.00	0.00	0.00	868.40	0.00	-133.31	-572.90	-264.41
2025-01-07 04:00:00	102.22	0.00	0.00	0.00	866.66	-0.00	-134.19	-568.24	-266.15
2025-01-07 05:00:00	102.22	0.00	0.00	0.00	863.44	0.00	-134.73	-563.98	-267.20
2025-01-07 06:00:00	102.22	0.00	0.00	0.00	859.91	0.00	-134.80	-559.98	-267.35
2025-01-07 07:00:00	102.22	0.00	0.00	0.00	860.42	-0.00	-136.07	-556.70	-269.85
2025-01-07 08:00:00	102.22	0.00	0.00	0.00	862.38	0.00	-137.89	-553.32	-273.43
2025-01-07 09:00:00	102.22	0.00	0.00	0.00	848.82	11.74	-139.61	-546.29	-276.82
2025-01-07 10:00:00	102.22	0.00	0.00	0.00	804.59	40.22	-140.95	-526.48	-279.48
2025-01-07 11:00:00	102.22	0.00	0.00	0.00	759.57	63.42	-140.86	-504.59	-279.31
2025-01-07 12:00:00	102.22	0.00	0.00	0.00	744.51	66.91	-140.98	-493.00	-279.55
2025-01-07 13:00:00	102.22	0.00	0.00	0.00	736.19	69.60	-141.70	-485.39	-280.96
2025-01-07 14:00:00	102.22	0.00	0.00	0.00	744.43	60.65	-141.58	-485.04	-280.73
