Depth [m]	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	15.4225
11	15.3264
12	15.1325
13	15.7326
14	16.1733
15	17.1486
16	14.3313
17	12.3094
18	10.9363
19	11.3025
20	10.3584
21	11.4439
22	10.2924
23	12.9783
24	11.1966
25	11.265
26	12.0838
27	12.4097
28	13.0004
29	14.0619
30	14.9216
31	15.5678
32	19.1899
33	26.8483
34	36.2696
35	47.7441
36	56.3762
37	59.1523
38	55.0553
39	45.7801
40	35.2208
41	24.9861
42	19.9158
43	14.1137
44	14.6725
45	13.3845
46	12.2763
47	12.1718
48	12.5534
49	11.9963
50	12.6763
51	13.495
52	12.7807
53	12.2162
54	11.7069
55	12.581
56	11.8043
57	11.4716
58	11.5792
59	11.7357
60	10.5591
61	10.8214
62	10.6783
63	10.8658
64	11.9391
65	10.7025
66	10.0611
67	9.88074
68	9.61905
69	10.0141
70	10.016
71	11.0061
72	10.5684
73	9.64643
74	10.52
75	9.89589
76	10.1932
77	9.71838
78	9.9285
79	8.40614
80	9.78885
81	10.4894
82	9.58627
83	9.57449
84	9.27921
85	10.7031
86	9.88537
87	9.07478
88	10.2198
89	10.9335
90	10.3946
91	11.4399
92	11.9126
93	11.6092
94	10.9513
95	10.0224
96	9.87805
97	10.1832
98	8.97272
99	9.03461
100	9.17937
101	8.23225
102	8.4816
103	8.98041
104	9.88832
105	8.67223
106	9.92003
107	8.60455
108	8.43172
109	7.65694
110	8.57735
111	7.7
112	8.05684
113	6.93963
114	6.48036
115	6.24423
116	6.84891
117	7.12203
118	6.23557
119	7.28771
120	6.5183
121	6.47559
122	5.95949
123	6.48497
124	6.72067
125	6.88325
126	6.16446
127	6.04417
128	6.95625
129	7.19416
130	6.75166
131	7.60079
132	7.7616
133	8.61012
134	9.82033
135	11.0743
136	10.7051
137	11.4183
138	11.856
139	10.3313
140	12.088
141	9.14022
142	8.96977
143	8.09689
144	7.49423
145	7.29546
146	5.39986
147	6.00521
148	6.38265
149	6.27908
150	5.66587
151	6.17057
152	6.0057
153	5.9375
154	5.43017
155	5.66922
156	5.90911
157	5.12746
158	6.31343
159	5.73579
160	5.88031
161	5.77105
162	5.77524
163	5.57177
164	5.42533
165	5.55827
166	6.13796
167	5.05918
168	4.82158
169	4.76197
170	4.86254
171	4.89569
172	5.26652
173	5.33077
174	5.6781
175	5.36028
176	5.4048
177	5.63466
178	4.99151
179	5.27543
180	4.18908
181	5.12659
182	4.81907
183	5.77221
184	5.00059
185	4.99463
186	5.43622
187	4.71991
188	4.89059
189	4.98879
190	4.12682
191	4.89185
192	5.53541
193	4.81713
194	5.73879
195	4.89103
196	4.7225
197	5.09306
198	5.63221
199	5.13265
200	5.466
201	4.96431
202	5.8
203	4.99137
204	4.9569
205	4.58437
206	4.35323
207	4.26294
208	4.24854
209	4.24779
210	4.00745
211	4.02186
212	4.35511
213	4.07892
214	4.07663
215	4.01651
216	4.69101
217	4.24788
218	3.47074
219	4.29326
220	4.12128
221	3.84441
222	4.21775
223	3.6743
224	3.85191
225	3.37615
226	4.24837
227	4.42228
228	3.68257
229	3.54254
230	3.71514
231	3.81459
232	3.54388
233	4.04924
234	3.71183
235	4.02517
236	3.21078
237	2.83892
238	4.12537
239	3.47021
240	3.71392
241	3.68319
242	3.0663
243	3.3173
244	4.05348
245	3.67484
246	3.71671
247	3.71372
248	2.52729
249	3.6144
250	3.47818
251	3.98313
252	3.30727
253	3.14195
254	3.13235
255	3.17151
256	3.13876
257	1.56938
258	3.47587
259	3.47587
260	3.23793
261	3.23793
262	3.13924
263	3.13924
264	2.71629
265	2.71629
266	3.22394
267	3.22394
268	3.01746
269	3.01746
270	3.03173
271	3.03173
272	2.58087
273	2.58087
274	2.8364
275	2.8364
276	2.88822
277	2.88822
278	2.67074
279	2.67074
280	2.66543
281	2.66543
282	2.78472
283	2.78472
284	3.03698
285	3.03698
286	2.34522
287	2.34522
288	2.41203
289	2.41203
290	2.37691
291	2.37691
292	2.62988
293	2.62988
294	2.15706
295	2.15706
296	2.65033
297	2.65033
298	2.29452
299	2.29452
300	2.36189
301	2.36189
302	1.95343
303	1.95343
304	2.09433
305	2.09433
306	2.04312
307	2.04312
308	1.95816
